"year","met_station","site","web","mean_overlap","se_overlap","season.precip.fall","GDD.fall","season.precip.spring","GDD.spring","mean.daily.precip","sd.daily.precip","cv.daily.precip","annual.PDO","annual.precip","web_id"
2000,"met49","C",1,0.463424422764529,0.054231694489123,94.893,4513.179585,59.145,1641.291,0.694360656,2.682594587,3.863402346,-0.78225,154.038,"C.1"
2000,"met49","C",2,0.388437109613693,0.025584883038788,94.893,4513.179585,59.145,1641.291,0.694360656,2.682594587,3.863402346,-0.78225,154.038,"C.2"
2000,"met49","C",3,0.42551842412725,0.0488547317197137,94.893,4513.179585,59.145,1641.291,0.694360656,2.682594587,3.863402346,-0.78225,154.038,"C.3"
2000,"met49","C",4,0.311410626102043,0.0517505225395496,94.893,4513.179585,59.145,1641.291,0.694360656,2.682594587,3.863402346,-0.78225,154.038,"C.4"
2000,"met49","C",5,0.362848769737965,0.0220048370513241,94.893,4513.179585,59.145,1641.291,0.694360656,2.682594587,3.863402346,-0.78225,154.038,"C.5"
2000,"met49","G",3,0.398791300798317,0.0485481504172024,94.893,4513.179585,59.145,1641.291,0.694360656,2.682594587,3.863402346,-0.78225,154.038,"G.3"
2000,"met49","G",4,0.384898951853285,0.0616611840430344,94.893,4513.179585,59.145,1641.291,0.694360656,2.682594587,3.863402346,-0.78225,154.038,"G.4"
2000,"met49","G",1,0.408517392491098,0.0584834159508683,94.893,4513.179585,59.145,1641.291,0.694360656,2.682594587,3.863402346,-0.78225,154.038,"G.1"
2000,"met49","G",2,0.446219711112732,0.0744637828146671,94.893,4513.179585,59.145,1641.291,0.694360656,2.682594587,3.863402346,-0.78225,154.038,"G.2"
2000,"met49","G",5,0.289223708386273,0.0761340349153205,94.893,4513.179585,59.145,1641.291,0.694360656,2.682594587,3.863402346,-0.78225,154.038,"G.5"
2001,"met49","C",1,0.305843033150064,0.0218218415067312,151.805,4464.4365,46.061,1514.3945,0.673526027,2.4750008,3.674692141,-0.741916666666667,197.866,"C.1"
2001,"met49","C",2,0.342815210868027,0.0149936195502609,151.805,4464.4365,46.061,1514.3945,0.673526027,2.4750008,3.674692141,-0.741916666666667,197.866,"C.2"
2001,"met49","G",1,0.370069451032496,0.0176587178606921,151.805,4464.4365,46.061,1514.3945,0.673526027,2.4750008,3.674692141,-0.741916666666667,197.866,"G.1"
2001,"met49","G",2,0.348638368247735,0.017130043352378,151.805,4464.4365,46.061,1514.3945,0.673526027,2.4750008,3.674692141,-0.741916666666667,197.866,"G.2"
2001,"met49","G",3,0.340790031174445,0.016668212439279,151.805,4464.4365,46.061,1514.3945,0.673526027,2.4750008,3.674692141,-0.741916666666667,197.866,"G.3"
2001,"met49","G",4,0.344243314332243,0.0204574412276232,151.805,4464.4365,46.061,1514.3945,0.673526027,2.4750008,3.674692141,-0.741916666666667,197.866,"G.4"
2001,"met49","G",5,0.343137696910689,0.0154418226933523,151.805,4464.4365,46.061,1514.3945,0.673526027,2.4750008,3.674692141,-0.741916666666667,197.866,"G.5"
2001,"met49","C",4,0.385169057785131,0.0203401295029654,151.805,4464.4365,46.061,1514.3945,0.673526027,2.4750008,3.674692141,-0.741916666666667,197.866,"C.4"
2001,"met49","C",5,0.29810593414028,0.0151995460935898,151.805,4464.4365,46.061,1514.3945,0.673526027,2.4750008,3.674692141,-0.741916666666667,197.866,"C.5"
2001,"met49","C",3,0.344172641382362,0.0272891380158447,151.805,4464.4365,46.061,1514.3945,0.673526027,2.4750008,3.674692141,-0.741916666666667,197.866,"C.3"
2001,"met50","B",1,0.45190670344678,0.0246743032476066,NA,NA,NA,NA,NA,NA,NA,-0.7419167,NA,"B.1"
2001,"met50","B",2,0.529828576250436,0.0204727220309127,NA,NA,NA,NA,NA,NA,NA,-0.7419167,NA,"B.2"
2001,"met50","B",3,0.632015255970626,0.0192525253057012,NA,NA,NA,NA,NA,NA,NA,-0.7419167,NA,"B.3"
2001,"met50","B",4,0.616563244346172,0.0183560764818856,NA,NA,NA,NA,NA,NA,NA,-0.7419167,NA,"B.4"
2001,"met50","B",5,0.571510608133899,0.0177238383354898,NA,NA,NA,NA,NA,NA,NA,-0.7419167,NA,"B.5"
2002,"met49","G",3,0.471935581581143,0.0201540323460005,181.59,4477.6785,5.743,1549.983,0.619323288,2.930158695,4.73122641,-0.134916666666667,187.333,"G.3"
2002,"met49","G",1,0.522776825340837,0.0326493118035823,181.59,4477.6785,5.743,1549.983,0.619323288,2.930158695,4.73122641,-0.134916666666667,187.333,"G.1"
2002,"met49","G",2,0.414590415338375,0.0285514739691219,181.59,4477.6785,5.743,1549.983,0.619323288,2.930158695,4.73122641,-0.134916666666667,187.333,"G.2"
2002,"met49","C",1,0.506096164815898,0.0408055661611453,181.59,4477.6785,5.743,1549.983,0.619323288,2.930158695,4.73122641,-0.134916666666667,187.333,"C.1"
2002,"met49","C",2,0.414075954406534,0.0396501893418459,181.59,4477.6785,5.743,1549.983,0.619323288,2.930158695,4.73122641,-0.134916666666667,187.333,"C.2"
2002,"met49","C",3,0.654115518130284,0.0374408381225096,181.59,4477.6785,5.743,1549.983,0.619323288,2.930158695,4.73122641,-0.134916666666667,187.333,"C.3"
2002,"met49","C",4,0.443683428956433,0.0374416325828293,181.59,4477.6785,5.743,1549.983,0.619323288,2.930158695,4.73122641,-0.134916666666667,187.333,"C.4"
2002,"met49","C",5,0.431603898516311,0.0342073732670381,181.59,4477.6785,5.743,1549.983,0.619323288,2.930158695,4.73122641,-0.134916666666667,187.333,"C.5"
2002,"met49","G",4,0.610057010881968,0.0218498243812751,181.59,4477.6785,5.743,1549.983,0.619323288,2.930158695,4.73122641,-0.134916666666667,187.333,"G.4"
2002,"met49","G",5,0.463396617505251,0.0297205049589645,181.59,4477.6785,5.743,1549.983,0.619323288,2.930158695,4.73122641,-0.134916666666667,187.333,"G.5"
2002,"met50","B",1,0.492764632587976,0.0135312191201435,248.214783,4590.842772,0,1608.508,1.245238095,4.903401923,3.937722386,-0.134916666666667,248.214783,"B.1"
2002,"met50","B",2,0.573472924152084,0.0116313990175492,248.214783,4590.842772,0,1608.508,1.245238095,4.903401923,3.937722386,-0.134916666666667,248.214783,"B.2"
2002,"met50","B",3,0.532134522661477,0.0115637370602881,248.214783,4590.842772,0,1608.508,1.245238095,4.903401923,3.937722386,-0.134916666666667,248.214783,"B.3"
2002,"met50","B",4,0.452670095903002,0.0177112637777217,248.214783,4590.842772,0,1608.508,1.245238095,4.903401923,3.937722386,-0.134916666666667,248.214783,"B.4"
2002,"met50","B",5,0.498278261735218,0.0120591862031423,248.214783,4590.842772,0,1608.508,1.245238095,4.903401923,3.937722386,-0.134916666666667,248.214783,"B.5"
2003,"met49","C",1,0.291437231800589,0.0385390241015364,69.999,4570.5855,21.912,1477,0.405285303,2.039147551,5.03138786,0.526666666666667,91.911,"C.1"
2003,"met49","C",4,0.368674926776029,0.043249317936134,69.999,4570.5855,21.912,1477,0.405285303,2.039147551,5.03138786,0.526666666666667,91.911,"C.4"
2003,"met49","C",5,0.283637761089639,0.0257988550183609,69.999,4570.5855,21.912,1477,0.405285303,2.039147551,5.03138786,0.526666666666667,91.911,"C.5"
2003,"met49","C",2,0.433910015361476,0.0282583539393154,69.999,4570.5855,21.912,1477,0.405285303,2.039147551,5.03138786,0.526666666666667,91.911,"C.2"
2003,"met49","G",2,0.335321969168035,0.0312188654465536,69.999,4570.5855,21.912,1477,0.405285303,2.039147551,5.03138786,0.526666666666667,91.911,"G.2"
2003,"met49","G",3,0.299690105424606,0.0268462178633548,69.999,4570.5855,21.912,1477,0.405285303,2.039147551,5.03138786,0.526666666666667,91.911,"G.3"
2003,"met49","G",4,0.293348449366718,0.0382546622049493,69.999,4570.5855,21.912,1477,0.405285303,2.039147551,5.03138786,0.526666666666667,91.911,"G.4"
2003,"met49","G",5,0.366194476436842,0.030659403399404,69.999,4570.5855,21.912,1477,0.405285303,2.039147551,5.03138786,0.526666666666667,91.911,"G.5"
2003,"met50","B",1,0.322387135798822,0.0605728353672066,50.1,4728.413396,32.6,1534.4535,0.406575342,2.07845054,5.112091961,0.526666666666667,82.7,"B.1"
2003,"met50","B",2,0.775795659137733,0.0319628501223202,50.1,4728.413396,32.6,1534.4535,0.406575342,2.07845054,5.112091961,0.526666666666667,82.7,"B.2"
2003,"met50","B",3,0.379824779896011,0.0138094836499902,50.1,4728.413396,32.6,1534.4535,0.406575342,2.07845054,5.112091961,0.526666666666667,82.7,"B.3"
2003,"met50","B",4,0.291410861929128,0.0147179839486476,50.1,4728.413396,32.6,1534.4535,0.406575342,2.07845054,5.112091961,0.526666666666667,82.7,"B.4"
2003,"met50","B",5,0.285479736620054,0.0238346465894491,50.1,4728.413396,32.6,1534.4535,0.406575342,2.07845054,5.112091961,0.526666666666667,82.7,"B.5"
2004,"met49","G",2,0.353729937097606,0.0162185369998181,114.678,4239.308,106.698,1482.8665,0.881540984,3.333007982,3.780888289,-0.110666666666667,221.376,"G.2"
2004,"met49","G",3,0.356435181085152,0.0161481980474002,114.678,4239.308,106.698,1482.8665,0.881540984,3.333007982,3.780888289,-0.110666666666667,221.376,"G.3"
2004,"met49","G",4,0.339322343244098,0.0193999247984491,114.678,4239.308,106.698,1482.8665,0.881540984,3.333007982,3.780888289,-0.110666666666667,221.376,"G.4"
2004,"met49","G",5,0.306502463663411,0.0144879232174906,114.678,4239.308,106.698,1482.8665,0.881540984,3.333007982,3.780888289,-0.110666666666667,221.376,"G.5"
